customer_id,first_name,last_name,gender,marital_status,email,country,join_date,birthdate
1,Donald,Schultz,Male,Single,donald.schultz@gmail.com,USA,2024-01-03,1998-06-27
2,Monica,Phillips,Female,Married,monica.phillips@hotmail.com,UK,2021-12-12,1996-05-29
3,Michelle,Williams,Female,Single,michelle.williams@outlook.com,Canada,2021-01-21,1954-04-09
4,Amy,Benitez,Male,Single,amy.benitez@yahoo.com,Germany,2024-12-08,1945-03-07
5,Carla,Thornton,Female,Widowed,carla.thornton@outlook.com,USA,2024-11-27,1963-05-23
6,Courtney,Martinez,Female,Widowed,courtney.martinez@gmail.com,Germany,2024-12-01,1987-04-19
7,Trevor,Patel,Male,Widowed,trevor.patel@outlook.com,Germany,2023-08-03,1972-05-07
8,David,Hall,Female,Divorced,david.hall@hotmail.com,Germany,2025-07-25,1951-11-28
9,Anna,Werner,Other,Divorced,anna.werner@yahoo.com,Australia,2024-10-12,1977-11-07
10,Dustin,Gonzalez,Other,Divorced,dustin.gonzalez@outlook.com,Germany,2024-06-18,1961-05-04
11,Richard,Little,Male,Divorced,richard.little@yahoo.com,USA,2020-10-28,2004-05-25
12,John,Crane,Female,Divorced,john.crane@hotmail.com,Australia,2024-02-01,1962-04-11
13,Monica,Pena,Other,Married,monica.pena@gmail.com,Germany,2024-03-21,2001-05-31
14,Andrea,Brown,Female,Widowed,andrea.brown@yahoo.com,Australia,2021-02-13,1986-06-12
15,Troy,Keller,Other,Widowed,troy.keller@hotmail.com,USA,2024-08-11,2002-11-29
16,Sandra,Mccoy,Male,Single,sandra.mccoy@gmail.com,Australia,2025-01-01,2000-09-24
17,James,Martin,Male,Divorced,james.martin@yahoo.com,Canada,2021-10-04,1948-06-27
18,Kelsey,Carey,Other,Single,kelsey.carey@gmail.com,Canada,2021-05-07,1977-10-21
19,Keith,Guerra,Other,Single,keith.guerra@outlook.com,Germany,2024-07-19,1967-07-22
20,Robert,Fernandez,Female,Single,robert.fernandez@hotmail.com,UK,2020-08-04,1966-11-22
21,James,Duncan,Male,Widowed,james.duncan@gmail.com,Germany,2023-10-10,2002-01-25
22,Tamara,Miller,Other,Divorced,tamara.miller@yahoo.com,UK,2022-05-07,1955-06-24
23,Wesley,Decker,Other,Married,wesley.decker@yahoo.com,Canada,2021-08-30,1961-01-28
24,Eugene,Knox,Other,Single,eugene.knox@outlook.com,Canada,2021-09-06,1986-07-05
25,Trevor,Ryan,Other,Married,trevor.ryan@hotmail.com,Australia,2021-06-27,1989-06-29
26,Nina,Woods,Male,Single,nina.woods@gmail.com,Canada,2023-02-01,1949-11-20
27,Melissa,Guerrero,Male,Widowed,melissa.guerrero@outlook.com,Australia,2022-06-27,1988-11-22
28,Mark,Knox,Female,Married,mark.knox@gmail.com,UK,2023-12-13,1970-10-26
29,Kathryn,Jones,Female,Divorced,kathryn.jones@outlook.com,USA,2020-08-28,1987-04-05
30,Kim,Anderson,Other,Divorced,kim.anderson@yahoo.com,Australia,2021-04-08,1949-01-10
31,Peter,Vang,Male,Divorced,peter.vang@yahoo.com,USA,2022-06-24,1962-02-22
32,Elizabeth,Navarro,Other,Single,elizabeth.navarro@hotmail.com,UK,2020-12-30,1990-02-14
33,Eduardo,Fernandez,Other,Widowed,eduardo.fernandez@hotmail.com,USA,2025-05-20,1971-05-20
34,Xavier,Sparks,Other,Widowed,xavier.sparks@hotmail.com,USA,2022-02-27,2004-01-15
35,Melissa,Hebert,Female,Divorced,melissa.hebert@outlook.com,UK,2024-08-29,1989-01-22
36,Joseph,Anthony,Male,Single,joseph.anthony@outlook.com,Australia,2024-05-08,2001-07-24
37,Kyle,Gibson,Male,Married,kyle.gibson@outlook.com,Australia,2024-09-08,1979-12-22
38,Catherine,Butler,Other,Widowed,catherine.butler@yahoo.com,UK,2023-12-24,2000-01-25
39,Julie,Woodward,Other,Widowed,julie.woodward@outlook.com,Australia,2023-07-12,1974-09-20
40,Benjamin,Riley,Male,Divorced,benjamin.riley@outlook.com,USA,2022-10-25,1960-11-09
41,Jacqueline,Shaw,Other,Married,jacqueline.shaw@outlook.com,Canada,2025-07-14,1957-04-01
42,Teresa,Shepard,Male,Single,teresa.shepard@gmail.com,Germany,2021-07-05,1992-10-29
43,Jessica,Kelly,Other,Widowed,jessica.kelly@hotmail.com,USA,2025-05-06,1994-08-05
44,Stephen,Willis,Female,Single,stephen.willis@gmail.com,USA,2023-02-11,1956-07-14
45,Tammy,Wolfe,Female,Married,tammy.wolfe@gmail.com,UK,2021-04-02,1968-05-16
46,Rebecca,Gonzalez,Female,Widowed,rebecca.gonzalez@gmail.com,USA,2020-09-04,1996-11-04
47,Erika,Rogers,Female,Widowed,erika.rogers@outlook.com,Australia,2023-05-27,1993-08-01
48,Stefanie,Howell,Male,Widowed,stefanie.howell@gmail.com,Australia,2022-04-06,1970-09-14
49,Timothy,Daniels,Female,Widowed,timothy.daniels@gmail.com,Australia,2023-07-05,1992-05-03
50,Brad,Vargas,Male,Single,brad.vargas@yahoo.com,Germany,2024-01-09,1981-03-31
51,Carolyn,Tanner,Male,Widowed,carolyn.tanner@yahoo.com,UK,2022-05-19,1957-05-03
52,Richard,Thompson,Other,Divorced,richard.thompson@gmail.com,UK,2024-10-24,1955-07-01
53,Timothy,Pittman,Male,Married,timothy.pittman@gmail.com,Canada,2022-03-23,1982-03-24
54,Gregory,Cowan,Other,Single,gregory.cowan@outlook.com,UK,2021-09-08,1976-01-31
55,Jennifer,Wu,Male,Widowed,jennifer.wu@gmail.com,Canada,2023-01-03,1948-05-15
56,Gabriel,Garcia,Female,Single,gabriel.garcia@yahoo.com,USA,2021-02-05,1945-01-09
57,Anthony,Fletcher,Other,Single,anthony.fletcher@outlook.com,UK,2021-03-31,2004-06-10
58,Kara,Greer,Other,Married,kara.greer@yahoo.com,Germany,2023-02-26,1951-09-19
59,Christopher,Pollard,Other,Divorced,christopher.pollard@gmail.com,Germany,2022-08-04,1976-03-31
60,Devin,Macdonald,Other,Divorced,devin.macdonald@outlook.com,Germany,2025-03-20,1968-07-16
61,Jason,Malone,Male,Single,jason.malone@yahoo.com,USA,2023-11-05,1974-05-01
62,Jennifer,Parks,Male,Single,jennifer.parks@yahoo.com,UK,2025-01-02,1968-09-12
63,Kristi,Thomas,Other,Divorced,kristi.thomas@outlook.com,Australia,2021-01-13,1961-01-12
64,Michael,Barnes,Female,Married,michael.barnes@outlook.com,UK,2025-02-01,1965-08-10
65,Heather,Hansen,Male,Single,heather.hansen@hotmail.com,Australia,2023-02-23,1964-04-20
66,Abigail,Melton,Female,Married,abigail.melton@yahoo.com,UK,2024-08-23,1974-07-31
67,Faith,West,Male,Married,faith.west@hotmail.com,Australia,2021-05-22,1989-08-21
68,Robert,Cunningham,Female,Divorced,robert.cunningham@gmail.com,Australia,2021-09-15,1979-04-25
69,William,Mcgee,Other,Married,william.mcgee@yahoo.com,UK,2023-12-04,1990-03-04
70,Colton,Young,Other,Married,colton.young@gmail.com,Canada,2022-08-05,1994-02-13
71,Levi,Mccann,Male,Single,levi.mccann@yahoo.com,Australia,2022-03-25,1995-03-06
72,Nicole,Watson,Female,Divorced,nicole.watson@outlook.com,UK,2022-07-11,1967-04-03
73,Sarah,Anderson,Male,Widowed,sarah.anderson@outlook.com,Australia,2021-12-18,1957-08-08
74,Vincent,Anderson,Male,Single,vincent.anderson@outlook.com,Canada,2020-11-25,1972-09-11
75,Juan,Martin,Female,Divorced,juan.martin@hotmail.com,Australia,2022-06-11,1948-01-17
76,Brian,Harrington,Other,Married,brian.harrington@gmail.com,Australia,2024-08-22,1993-07-08
77,Alyssa,Gaines,Other,Divorced,alyssa.gaines@outlook.com,USA,2024-11-05,1998-09-05
78,Samantha,Mcdonald,Male,Divorced,samantha.mcdonald@gmail.com,Australia,2024-01-23,1992-01-12
79,Alan,Sparks,Other,Divorced,alan.sparks@gmail.com,Germany,2022-06-29,1984-12-25
80,Theresa,Wright,Male,Divorced,theresa.wright@gmail.com,Canada,2024-03-04,1946-06-17
81,Valerie,Scott,Female,Divorced,valerie.scott@gmail.com,USA,2020-10-17,2004-07-24
82,Allison,Cooper,Male,Single,allison.cooper@gmail.com,Canada,2025-06-12,1986-01-21
83,Carla,Mcdonald,Female,Married,carla.mcdonald@yahoo.com,Germany,2025-05-12,1985-04-20
84,Eric,Frazier,Female,Divorced,eric.frazier@outlook.com,UK,2021-03-28,1981-04-19
85,Joshua,Jones,Female,Widowed,joshua.jones@outlook.com,UK,2024-01-29,1954-08-05
86,Derek,Henderson,Other,Widowed,derek.henderson@hotmail.com,Australia,2021-03-05,1989-02-13
87,Jennifer,Jones,Other,Widowed,jennifer.jones@gmail.com,Canada,2025-06-30,1993-09-08
88,Christina,Miller,Other,Divorced,christina.miller@hotmail.com,Germany,2021-11-17,1981-09-15
89,Scott,Davis,Other,Divorced,scott.davis@outlook.com,Canada,2021-08-03,1956-04-07
